video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favoriteCount,commentCount,duration,definition,caption
EaxCqXr0Wrc,Tina Yong,I Tried Viral Matcha Recipes *obsessed* 🍵,"Trying out some of the most viral matcha recipes from TikTok! 🍵✨ From the trendy matcha strawberry latte to sweet matcha crinkle cookies and easy 4-ingredient matcha truffles—let’s see if they’re actually worth making. Which one is actually worth making?  👀

Don’t forget to like and subscribe to join the fam 🩷  https://bit.ly/2JFCtDr 

Viral Recipes:
Matcha strawberry latte https://vt.tiktok.com/ZSj995G5Y/https://vt.tiktok.com/ZSMhSjBTG/
Matcha crinkle cookies https://vt.tiktok.com/ZSj99CLQ1/
Matcha truffles  https://vt.tiktok.com/ZSj996TJk/

____________________________
🦋 Follow Me 🦋
Instagram: https://www.instagram.com/tina_yong/
TikTok: https://www.tiktok.com/@tina_yong

💟 Shop My Beauty Brand 💟
The Petite Club: https://coreelle.com/collections/the-petite-club 
TikTok: https://www.tiktok.com/@thepetiteclub
Instagram: https://www.instagram.com/petiteclubofficial/","['Tina Yong', 'Tina Young', 'Tina tries it', 'tina', 'matcha', 'matcha recipes', 'recipes', 'tiktok', 'tiktok recipes', 'cooking', 'cook', 'chefs', 'viral recipes', 'viral', 'viral matcha', 'matcha strawberry', 'strawberry matcha', 'matcha latte', 'matcha cookies', 'matcha crinkle cookies', 'matcha truffles', '3 ingredient recipes', '3 ingredient', 'easy recipes', 'fast recipes', 'matcha drink', 'dessert recipes', 'baking recipes', 'bake', 'bakers', 'baking', 'dessert', 'matcha desserts', 'comedy', 'vlog', 'cooking vlog', 'baking vlog']",2025-03-21T02:04:36Z,214849,9757,0,198,PT14M30S,hd,true
oJJf4XrmH1g,Tina Yong,Why does my baby always escape?!,,,2025-03-19T07:30:18Z,52043,2479,0,31,PT29S,hd,false
kL9j_84hGH8,Tina Yong,I gave birth in 35mins,,"['tina', 'tina yong', 'tina young', 'baby', 'pregnancy', 'pregnant', 'mummy', 'mummy life', 'mommy', 'mommy life', 'push present', 'present', 'confinement centre', 'postpartum', 'postpartum journey', 'birth', 'comedy', 'relatable', 'viral']",2025-03-18T01:45:38Z,36054,1388,0,18,PT9S,hd,false
zQRJuXix1Rk,Tina Yong,Vietnamese Fashion Try-on Haul *worn by K-pop idols*,"You can download Revolut using this link: https://get.revolut.com/z4lF/tina and get $40 after your first purchase. T&Cs & End date apply. Spend min $1 to receive reward. In partnership with Revolut

It’s been 2 months since having baby #2, and my body is still adjusting! Join me as I go shopping for clothes in Vietnam that fit my postpartum body—finding comfy, stylish pieces that make me feel good. From local boutiques to trendy finds, let’s see what works (and what doesn’t)!
Don’t forget to like and subscribe to join the fam 🩷  https://bit.ly/2JFCtDr

_________________________
🦋 Follow Me 🦋
Instagram: https://www.instagram.com/tina_yong/
TikTok: https://www.tiktok.com/@tina_yong

💟 Shop My Beauty Brand 💟
The Petite Club: https://coreelle.com/collections/the-petite-club 
TikTok: https://www.tiktok.com/@thepetiteclub
Instagram: https://www.instagram.com/petiteclubofficial/



Consider PDS & TMD at revolut.com/AU/. Revolut Payments Australia Pty Ltd (AFSL 517589)","['Tina Yong', 'Tina Young', 'Tina tries it', 'Fashion Haul', 'LSOUL', 'Chautfifth', 'Fashion Try On', 'Postpartum Fashion Haul', 'Postpartum', 'Clothes Bar', 'Hoo Design', 'Vietnam Shopping', 'Vietnam Fashion', 'Travel Vlog', 'Shopping in Vietnam', 'Shop with me']",2025-03-14T12:16:27Z,146053,7728,0,233,PT13M58S,hd,true
z7nVNrbmSE0,Tina Yong,I don't drink water after giving birth,"Don’t forget to like and subscribe to join the fam 🩷  https://bit.ly/2JFCtDr 
____________________________
🦋 Follow Me 🦋
Instagram: https://www.instagram.com/tina_yong/
TikTok: https://www.tiktok.com/@tina_yong

💟 Shop My Beauty Brand 💟
The Petite Club: https://coreelle.com/collections/the-petite-club 
TikTok: https://www.tiktok.com/@thepetiteclub
Instagram: https://www.instagram.com/petiteclubofficial/","['Tina Yong', 'Tina Young', 'Tina tries it', 'tina', 'teas', 'postpartum', 'postpartum teas', 'tonic teas', 'herbal teas', 'ancient teas', 'mummy', 'motherhood', 'parenthood', 'new mum', 'confinement teas', 'confinement', 'post partum', 'baby']",2025-03-14T10:01:20Z,407341,19567,0,92,PT53S,hd,false
VG-SUSTWuYM,Tina Yong,Why mums wrap their bodies after birth,,"['belly binding', 'belly wrap', 'postpartum']",2025-03-10T10:00:38Z,10967387,597413,0,1632,PT37S,hd,false
qPTvcu3kGp0,Tina Yong,Dad picks ONE baby item,"This video is in partnership with motherswork 
Bugaboo dragonfly available here 

https://www.motherswork.com.vn/products/bugaboo-dragonfly-base?_pos=1&_psq=Bugaboo+dragon&_ss=e&_v=1.0","['bugaboo', 'dragonfly', 'baby stroller']",2025-03-09T04:18:29Z,445124,25503,0,95,PT44S,hd,false
PvbYYKTE58w,Tina Yong,This is Luxury Postpartum Care,"Don’t forget to like and subscribe to join the fam 🩷  https://bit.ly/2JFCtDr 
____________________________
🦋 Follow Me 🦋
Instagram: https://www.instagram.com/tina_yong/
TikTok: https://www.tiktok.com/@tina_yong

💟 Shop My Beauty Brand 💟
The Petite Club: https://coreelle.com/collections/the-petite-club 
TikTok: https://www.tiktok.com/@thepetiteclub
Instagram: https://www.instagram.com/petiteclubofficial/","['Tina Yong', 'Tina Young', 'Tina tries it', 'tina', 'postpartum', 'post partum', 'baby', 'mummy', 'mommy', 'mother', 'motherhood', '24hours', 'day in my life', 'vlog', 'mummy vlog', 'new born baby', 'newborn', 'confinement centre', 'confinement', 'vietnam', 'travel', 'the joyful nest']",2025-03-07T05:06:57Z,256981,13682,0,89,PT58S,hd,false
LTZwLtXc204,Tina Yong,"I Stayed at a Luxury Postpartum Center: 24/7 Nurses, Chef & Baby Care","Taking you inside Vietnam's first 5-star postpartum centre! From 24/7 nurse care and traditional treatments to gourmet meals and luxury amenities - sharing my full experience at The Joyful Nest. This is what modern postpartum recovery looks like in Asia ✨
Don’t forget to like and subscribe to join the fam 🩷  https://bit.ly/2JFCtDr 

The Joyful Nest: https://thejoyfulnest.com/

Timeline: 
0:00 Intro
0:09 Confinement Center
1:17 Daily Routine
3:12 Postpartum Treatments
5:49 Night Nanny
8:10 Comparison with my first baby
9:02 How much it cost


____________________________
🦋 Follow Me 🦋
Instagram: https://www.instagram.com/tina_yong/
TikTok: https://www.tiktok.com/@tina_yong

💟 Shop My Beauty Brand 💟
The Petite Club: https://coreelle.com/collections/the-petite-club 
TikTok: https://www.tiktok.com/@thepetiteclub
Instagram: https://www.instagram.com/petiteclubofficial/","['Tina Yong', 'Tina Young', 'Tina tries it', 'joyful nest', 'postpartum', 'post partum', 'post partum centre', 'postpartum center', 'postpartum care', 'motherhood', 'mother', 'momlife', 'mumlife', 'pregnancy', 'pregnant', 'pregnancy journey', 'confinement center', 'confinement', 'confinement nanny', 'pregnancy life', 'pregnant life', 'baby', 'baby life', 'day in the life', 'mother life', 'day in my life of a mother', 'luxury postpartum', 'postpartum resort', 'vietnam', 'travel', 'hochiminh', 'vietnam life', 'q&a', 'motherhood journey']",2025-03-07T05:03:38Z,210536,8156,0,290,PT11M10S,hd,true
AuK3w0qhrP0,Tina Yong,Water Birth VS Hospital Birth - Which Was More Painful? 😱,"Big thanks to KiwiCo for sponsoring today’s video! Go to https://www.kiwico.com/tinayong and use code TINAYONG for 20% off your first Panda Crate!

Comparing my two completely different unmedicated births! From a peaceful water birth with my first baby to an unexpectedly fast hospital birth with my second - sharing every detail of both experiences. If you're considering a natural birth, water birth, or just curious about different birth experiences, this raw and honest comparison shows you what it's really like.
Timeline: 0:00 Introduction 
1:34 First Birth: Water Birth Experience 
3:58 Second Birth: Hospital Birth 
13:07 Water birth or bed birth, which one is more painful?
12:15 Recovery Differences 
13:49 Why I chose not to have an epidural
16:17 Did I poop when I gave birth?
17:43 Tips for preparing for natural birth 

Don’t forget to like and subscribe to join the fam 🩷  https://bit.ly/2JFCtDr 
____________________________
🦋 Follow Me 🦋
Instagram: https://www.instagram.com/tina_yong/
TikTok: https://www.tiktok.com/@tina_yong

💟 Shop My Beauty Brand 💟
The Petite Club: https://coreelle.com/collections/the-petite-club 
TikTok: https://www.tiktok.com/@thepetiteclub
Instagram: https://www.instagram.com/petiteclubofficial/","['Tina Yong', 'Tina Young', 'Tina tries it', 'water birth', 'natural birth', 'birth story', 'labor and delivery', 'unmedicated birth', 'birth vlog', 'hospital birth', 'birth experience', 'positive birth', 'birth without fear', 'natural labor', 'birth journey', 'labor story', 'birth comparison', 'second birth', 'fast birth']",2025-03-01T01:57:44Z,117320,5017,0,255,PT19M25S,hd,true
